time,temperature_2m (°C)
2025-01-16 00:00:00,5.0
2025-01-16 01:00:00,4.5
2025-01-16 02:00:00,4.5
2025-01-16 03:00:00,4.5
2025-01-16 04:00:00,4.2
2025-01-16 05:00:00,3.9
2025-01-16 06:00:00,3.8
2025-01-16 07:00:00,3.7
2025-01-16 08:00:00,3.5
2025-01-16 09:00:00,3.4
2025-01-16 10:00:00,3.5
2025-01-16 11:00:00,4.2
2025-01-16 12:00:00,5.3
2025-01-16 13:00:00,6.2
2025-01-16 14:00:00,6.5
2025-01-16 15:00:00,6.7
2025-01-16 16:00:00,6.6
2025-01-16 17:00:00,6.1
2025-01-16 18:00:00,5.1
2025-01-16 19:00:00,4.2
2025-01-16 20:00:00,3.4
2025-01-16 21:00:00,2.7
2025-01-16 22:00:00,2.3
2025-01-16 23:00:00,1.5
2025-01-17 00:00:00,0.3
2025-01-17 01:00:00,0.2
2025-01-17 02:00:00,0.3
2025-01-17 03:00:00,0.3
2025-01-17 04:00:00,0.3
2025-01-17 05:00:00,0.4
2025-01-17 06:00:00,0.2
2025-01-17 07:00:00,0.2
2025-01-17 08:00:00,0.2
2025-01-17 09:00:00,0.1
2025-01-17 10:00:00,0.1
2025-01-17 11:00:00,0.2
2025-01-17 12:00:00,0.5
2025-01-17 13:00:00,0.7
2025-01-17 14:00:00,0.8
2025-01-17 15:00:00,1.1
2025-01-17 16:00:00,1.1
2025-01-17 17:00:00,0.8
2025-01-17 18:00:00,0.6
2025-01-17 19:00:00,0.7
2025-01-17 20:00:00,0.6
2025-01-17 21:00:00,0.7
2025-01-17 22:00:00,0.7
2025-01-17 23:00:00,0.8
2025-01-18 00:00:00,0.9
2025-01-18 01:00:00,0.8
2025-01-18 02:00:00,0.9
2025-01-18 03:00:00,1.0
2025-01-18 04:00:00,1.1
2025-01-18 05:00:00,1.2
2025-01-18 06:00:00,1.2
2025-01-18 07:00:00,1.1
2025-01-18 08:00:00,1.0
2025-01-18 09:00:00,0.9
2025-01-18 10:00:00,0.9
2025-01-18 11:00:00,1.0
2025-01-18 12:00:00,1.0
2025-01-18 13:00:00,1.2
2025-01-18 14:00:00,1.3
2025-01-18 15:00:00,1.4
2025-01-18 16:00:00,1.4
2025-01-18 17:00:00,1.1
2025-01-18 18:00:00,0.8
2025-01-18 19:00:00,0.5
2025-01-18 20:00:00,0.3
2025-01-18 21:00:00,0.2
2025-01-18 22:00:00,0.2
2025-01-18 23:00:00,0.2
