time,temperature_2m (°C)
2025-01-23 00:00:00,5.5
2025-01-23 01:00:00,5.3
2025-01-23 02:00:00,5.3
2025-01-23 03:00:00,5.3
2025-01-23 04:00:00,5.6
2025-01-23 05:00:00,5.5
2025-01-23 06:00:00,5.3
2025-01-23 07:00:00,4.8
2025-01-23 08:00:00,4.5
2025-01-23 09:00:00,4.0
2025-01-23 10:00:00,4.6
2025-01-23 11:00:00,5.5
2025-01-23 12:00:00,6.6
2025-01-23 13:00:00,7.1
2025-01-23 14:00:00,7.7
2025-01-23 15:00:00,8.1
2025-01-23 16:00:00,8.1
2025-01-23 17:00:00,7.7
2025-01-23 18:00:00,7.3
2025-01-23 19:00:00,7.5
2025-01-23 20:00:00,7.6
2025-01-23 21:00:00,7.9
2025-01-23 22:00:00,7.7
2025-01-23 23:00:00,7.5
2025-01-24 00:00:00,7.3
2025-01-24 01:00:00,6.7
2025-01-24 02:00:00,6.2
2025-01-24 03:00:00,5.8
2025-01-24 04:00:00,5.4
2025-01-24 05:00:00,5.2
2025-01-24 06:00:00,5.2
2025-01-24 07:00:00,5.4
2025-01-24 08:00:00,5.5
2025-01-24 09:00:00,5.6
2025-01-24 10:00:00,5.9
2025-01-24 11:00:00,6.6
2025-01-24 12:00:00,7.0
2025-01-24 13:00:00,7.9
2025-01-24 14:00:00,8.8
2025-01-24 15:00:00,9.4
2025-01-24 16:00:00,9.6
2025-01-24 17:00:00,9.7
2025-01-24 18:00:00,9.8
2025-01-24 19:00:00,9.9
2025-01-24 20:00:00,9.8
2025-01-24 21:00:00,9.9
2025-01-24 22:00:00,9.8
2025-01-24 23:00:00,9.8
2025-01-25 00:00:00,9.9
2025-01-25 01:00:00,10.1
2025-01-25 02:00:00,10.2
2025-01-25 03:00:00,10.2
2025-01-25 04:00:00,10.2
2025-01-25 05:00:00,10.0
2025-01-25 06:00:00,10.0
2025-01-25 07:00:00,10.1
2025-01-25 08:00:00,10.3
2025-01-25 09:00:00,10.2
2025-01-25 10:00:00,9.8
2025-01-25 11:00:00,9.2
2025-01-25 12:00:00,9.1
2025-01-25 13:00:00,9.5
2025-01-25 14:00:00,10.2
2025-01-25 15:00:00,10.5
2025-01-25 16:00:00,10.1
2025-01-25 17:00:00,9.4
2025-01-25 18:00:00,8.1
2025-01-25 19:00:00,6.7
2025-01-25 20:00:00,5.5
2025-01-25 21:00:00,4.5
2025-01-25 22:00:00,3.7
2025-01-25 23:00:00,3.0
